تجربه خرید هست امروز دستم رسیده اسم هست خوش رنگ هست,1
خرید محصول توصیه میکنم,1
گوشی دارم نقطه ضعفی ازش ندیدم,1
سلام خدمت دوستان گوشی کیفیت ساخت سرعت کیفیت صدا تصویر حافظه گیگ قرار میگیره,1
سلام دوستانی نگران صفحه نمایش صفحه میشه خدمات سامسونگ شرایط صفحه گوشی ایراد بشه هزار تومان صفحه براتون تعویض میکنند امکانات گوشی عالیه خرید خودم راضیم,1
بهش یه گوشی ضربه خوردن باشین,1
بالاخره فروش قرار حافظه گوشیهای مشکل داشتم گوشی قبلی سال استفاده راضی بودم دلیل گوشیهای سامسونگ ایجاد تصمیم گرفتم گوشی عوض گوشی واقعا زیباست طراحی داره زمانی گوشی دست دست هست حس داره نسخه پلاس انتخاب نکردم بزرگی وزن گوشی نسخه اندازه فوقالعاده کیفیت بلندی صدای اسپیکر هست زمانی گوشی قبلی خودم تست واقعا تفاوت حس میشد گوشی مقایسه بلندی صدای کیفیت نگرانی سنسور انگشت کار بودم اصلا مناسبی نداشت مشکل سنسور بنظرم سرعت سنسور هست ترکیب سنسور هست نیازی انگشت احساس نمیشه توی سرعت گوشی طریق میشه ایراد دیدم بسته باشه گوشی میشه توی آیفون ظاهرا بسته گوشی نمیشه بهتره دوربین گوشی قبلی هست تفاوت توی دوربین اصلی گوشی قبلی خودم ندیدم درکل دوربین اصلی کیفیت داره توی زوم آخر نویز کمتری دیده میشه قابلیت دوربین پلاس داره دلیل دوربین گوشی میتونه عکسهای بگیره گوشی داره اسم فاصله نیم متری باشه دقیقا همون میتونه کنه عملکرد نهایت کیفیت صفحه فوقالعاده بنظرم هست نقاط ضعف بگم باتری باتری رضایت بنظرم زور میتونه گوشی صبح ساعت شب استفاده هست اینترنت روشن هست مخصوصا انتظار ظاهرا نسخه پلاس توی بهتره هست واقعا عملکرد ضعیف هست کلا یکبار کلا شدم دوستان تست اصلا نتیجه جالبی نداشت تقریبا نشون میده نمیدونم سامسونگ قابلیت نرسیده کاش نسخه پلاس رم نمیدونم سامسونگ اپل نسخه معمولی پلاس فرق همش اپل هست میکنه تقریبا باشه دیگه قبلی هارو برنامهها میکنه بازی سنگین بشه وضعیت میشه مشکل میخوره موقع اجرای میکنه نهایت خریدم راضی هستم رم دوربین نسخه پلاس واقعا میشد اصلا نسخه پلاس اندازه قابلیت کار بشه آیفون دوربین بعدی اضافه بشه قطعا قابلیت جالبی میشه,1
ماهه خریدم واقعا راضیم عالیه گوشی رنج قیمت,1
بنظر گوشی مقرون صرفه توی جور استفاده ازش بازیهای نسبتا سنگین معمولی صفحه نمایش فوقالعاده بنظرم نقطه قوتش لذت کار باهاش بنظرم عمر خودشو انتظاری نداشتم ازش هزینه اینم بگم دستم خورده کیفیت مشکلی براش نیومد,1
خریدم راضی گوشی یه ایرادی داره برنامههای ضبط صدای مقابل ضبط نمیشه برنامهها امتحان اینترنت سایتهای خارجی مشکل امیدوارم سامسونگ بعدی ایراد رفع کنه ویژن ایران کار نمیکنه ضبط تصویر اگه نور نباشه کیفیتش خراب میشه نور کیفیت ضبط میشه حالت عادی خوبه,1
